URL,Category,Mobile_Performance_Score,Mobile_FCP,Mobile_LCP,Mobile_SI,Mobile_TTI,Mobile_TBT,Mobile_CLS,Desktop_Performance_Score,Desktop_FCP,Desktop_LCP,Desktop_SI,Desktop_TTI,Desktop_TBT,Desktop_CLS
https://www.sortlist.com/blog/category/gaming/2d-game-development/,Blog Category,43,4404,6151,7331,18503,846,0,84,727,1430,727,3731,280,0
https://www.sortlist.com/blog/category/marketing/social-media,Blog Category,57,3915,14546,7389,19514,210,0,78,861,2699,2444,3920,84,0
https://www.sortlist.com/blog/category/3d-design/3d-design-3d-design/,Blog Category,55,4987,6591,6939,17307,304,0,73,691,1467,1158,4125,523,0
https://www.sortlist.com/blog/category/app-development/chatbot-development/,Blog Category,59,4988,6602,4988,17655,261,0,75,1006,1479,1234,3905,407,0
https://www.sortlist.com/blog/category/marketing/sea/,Blog Category,50,5264,11424,5409,19834,460,0,82,802,2077,931,4044,228,0
https://www.sortlist.com/blog/category/creative-design/mobile-app-design/,Blog Category,44,4991,11140,4991,19414,756,0,80,1002,1935,1002,4193,258,0
https://www.sortlist.com/blog/category/app-development/smart-tv-development/,Blog Category,56,4413,6295,4413,17233,418,0,69,933,1441,933,4247,692,0
https://www.sortlist.com/blog/category/gaming/ar-game-development/,Blog Category,51,4990,6599,4990,18654,516,0,70,888,1364,1282,4335,632,0
https://www.sortlist.com/blog/category/fcacd56f-2aeb-4dc1-ad1d-27031d6c7a32/app-development/app-localization/,Blog Category,49,4992,6626,4992,17855,612,0,68,926,1370,1228,4499,736,0
https://www.sortlist.com/blog/category/fcacd56f-2aeb-4dc1-ad1d-27031d6c7a32/app-development/hybrid-mobile-app-development/,Blog Category,64,3606,6745,5006,17806,187,0,72,922,1457,922,4231,556,0
https://www.sortlist.com/blog/category/marketing/event-marketing/,Blog Category,55,4990,11186,4990,19325,318,0,80,1004,2014,1316,4007,230,0
https://www.sortlist.com/blog/category/84861abe-abce-45a9-9190-c16e27bfcb5a/copywriting/,Blog Category,56,4991,6617,4991,17580,345,0,75,1006,1463,1317,3873,402,0
https://www.sortlist.com/blog/category/app-development/react-native-development/,Blog Category,48,4416,7092,4416,18360,680,0,78,1007,1473,1177,3865,356,0
https://www.sortlist.com/blog/category/84861abe-abce-45a9-9190-c16e27bfcb5a/event/event-marketing-event/,Blog Category,46,4991,6331,4991,18830,798,0,67,975,1192,1230,4733,988,0
https://www.sortlist.com/blog/category/84861abe-abce-45a9-9190-c16e27bfcb5a/online-ad/sea-online-ad/,Blog Category,66,2856,6760,2856,17098,286,0,69,981,1266,981,4370,743,0
